local authority code,local authority name,LSOA code,All usual residents aged 16-74 ,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive:  Full-time students,,
E09000001,City of London,E01000001,1221,610,64,16,65,4,105,66,34,10,35,15,152,45,,
E09000001,City of London,E01000002,1196,586,66,15,59,12,119,53,16,6,28,17,171,48,,
E09000001,City of London,E01000003,1102,467,84,43,37,5,106,41,39,41,17,16,117,89,,
E09000001,City of London,E01000005,773,323,81,29,12,4,25,10,46,48,44,24,74,53,,
E09000001,City of London,E01032739,971,643,30,18,41,1,66,21,23,5,17,24,24,58,,
E09000001,City of London,E01032740,1044,616,35,23,67,6,89,22,29,6,12,27,42,70,,
E09000002,Barking and Dagenham,E01000006,1251,407,158,58,28,11,89,40,83,46,105,37,72,117,,
E09000002,Barking and Dagenham,E01000007,1034,346,116,96,24,4,44,14,87,36,76,43,34,114,,
E09000002,Barking and Dagenham,E01000008,1023,267,130,91,9,8,42,24,125,52,81,56,28,110,,
E09000002,Barking and Dagenham,E01000009,1377,447,153,114,18,5,56,22,91,72,103,66,110,120,,
E09000002,Barking and Dagenham,E01000011,1239,348,140,127,15,6,53,47,84,49,110,69,69,122,,
E09000002,Barking and Dagenham,E01000012,1324,408,163,82,24,2,79,37,95,39,144,63,61,127,,
E09000002,Barking and Dagenham,E01000013,1354,466,177,46,25,3,64,34,93,75,98,45,136,92,,
E09000002,Barking and Dagenham,E01000014,950,345,114,31,10,4,49,22,75,55,68,36,91,50,,
E09000002,Barking and Dagenham,E01000015,1493,520,165,69,20,7,72,54,120,79,124,65,86,112,,
E09000002,Barking and Dagenham,E01000016,1120,399,163,43,14,4,48,21,69,59,75,41,112,72,,
E09000002,Barking and Dagenham,E01000017,1108,387,123,42,16,3,57,24,63,91,88,43,93,78,,
E09000002,Barking and Dagenham,E01000018,1085,376,158,40,15,2,49,20,77,62,83,37,95,71,,
E09000002,Barking and Dagenham,E01000019,970,322,113,41,20,4,37,31,88,54,77,27,101,55,,
E09000002,Barking and Dagenham,E01000020,1226,435,129,65,22,5,62,22,95,67,90,40,98,96,,
E09000002,Barking and Dagenham,E01000021,1141,352,110,77,13,6,58,29,98,84,82,37,89,106,,
