LSOA code,local authority name,local authority code,All households,One person Aged 66+,One person Aged up to 65,Family: all aged 66+,Married or civil partnership couple: No children,Married or civil partnership couple: Dependent children,Married or civil partnership couple: non-dependent children,Cohabiting couple: No children,Cohabiting couple: Dependent children,Cohabiting couple: Non-dependent children,Lone parent: dependent children,Lone parent: non-dependent children,Other with dependent children,All other types,
E01000001,City of London,E09000001,839,126,245,84,112,68,13,99,13,0,10,7,1,61,
E01000002,City of London,E09000001,831,101,309,59,105,44,10,96,10,3,13,15,2,64,
E01000003,City of London,E09000001,1023,161,422,31,108,44,15,104,16,5,22,21,1,73,
E01000005,City of London,E09000001,479,47,172,7,26,46,16,28,12,4,29,25,20,47,
E01032739,City of London,E09000001,882,18,406,7,92,27,10,148,1,0,7,8,4,154,
E01032740,City of London,E09000001,879,42,459,15,86,22,5,125,4,0,7,10,4,100,
E01000006,Barking and Dagenham,E09000002,549,26,62,22,27,106,40,13,23,2,55,22,76,75,
E01000007,Barking and Dagenham,E09000002,1192,28,408,8,86,220,23,63,45,4,135,42,54,76,
E01000008,Barking and Dagenham,E09000002,552,16,117,3,24,105,21,13,40,3,83,34,58,35,
E01000009,Barking and Dagenham,E09000002,602,44,130,15,40,97,38,14,19,5,35,28,75,62,
E01000011,Barking and Dagenham,E09000002,470,19,77,10,23,97,32,6,10,0,24,25,93,54,
E01000012,Barking and Dagenham,E09000002,779,27,133,7,52,180,23,29,33,1,136,27,63,68,
E01000013,Barking and Dagenham,E09000002,620,51,67,21,37,112,36,14,28,1,82,54,65,52,
E01000014,Barking and Dagenham,E09000002,631,58,107,19,40,119,32,19,37,12,64,43,44,37,
E01000015,Barking and Dagenham,E09000002,833,48,137,20,36,143,47,22,48,5,149,55,71,52,
E01000016,Barking and Dagenham,E09000002,629,51,71,24,47,106,41,12,31,8,89,53,60,36,
E01000017,Barking and Dagenham,E09000002,593,47,97,14,34,104,40,22,24,7,65,49,45,45,
E01000018,Barking and Dagenham,E09000002,644,42,116,15,45,104,36,10,32,12,86,57,45,44,
E01000019,Barking and Dagenham,E09000002,499,31,44,20,20,133,37,10,15,5,71,28,52,33,
E01000020,Barking and Dagenham,E09000002,660,62,82,13,30,186,61,12,22,5,52,41,48,46,
E01000021,Barking and Dagenham,E09000002,587,48,112,17,23,132,30,17,23,10,74,31,42,28,
E01000022,Barking and Dagenham,E09000002,485,43,51,17,24,93,30,13,17,8,58,48,50,33,
E01000024,Barking and Dagenham,E09000002,460,30,46,16,24,85,31,5,19,3,53,63,51,34,
E01000025,Barking and Dagenham,E09000002,691,102,126,13,34,130,34,17,32,6,65,44,54,34,
E01000027,Barking and Dagenham,E09000002,656,61,70,23,25,118,39,11,46,12,104,44,76,27,
E01000028,Barking and Dagenham,E09000002,619,85,106,15,24,118,28,9,16,7,91,37,51,32,
E01000029,Barking and Dagenham,E09000002,678,126,60,77,44,137,39,9,20,8,47,51,30,30,
E01000030,Barking and Dagenham,E09000002,912,63,157,18,31,190,26,23,61,2,191,54,52,44,
E01000031,Barking and Dagenham,E09000002,596,82,70,33,46,114,46,8,14,5,39,35,61,43,
E01000032,Barking and Dagenham,E09000002,717,76,102,31,41,147,51,21,25,4,62,45,53,59,
E01000033,Barking and Dagenham,E09000002,543,66,87,23,26,93,29,19,26,7,85,28,32,22,
E01000034,Barking and Dagenham,E09000002,516,64,61,20,36,77,44,12,21,8,53,34,34,52,
E01000035,Barking and Dagenham,E09000002,599,49,94,28,40,113,54,13,25,8,57,34,53,31,
E01000036,Barking and Dagenham,E09000002,471,49,47,26,32,97,41,9,15,4,38,25,43,45,
E01000037,Barking and Dagenham,E09000002,581,66,63,43,58,110,66,8,16,6,34,39,41,31,
E01000038,Barking and Dagenham,E09000002,562,77,47,41,43,106,61,11,26,13,33,28,42,34,
E01000039,Barking and Dagenham,E09000002,645,75,91,44,51,105,39,28,36,7,57,42,45,25,
E01000040,Barking and Dagenham,E09000002,659,55,96,22,28,134,32,26,38,6,72,46,55,49,
E01000041,Barking and Dagenham,E09000002,602,47,62,29,31,129,34,8,24,9,76,44,68,41,
E01000042,Barking and Dagenham,E09000002,648,61,128,8,24,130,28,17,24,1,97,43,44,43,
E01000043,Barking and Dagenham,E09000002,469,50,51,25,19,92,32,9,14,4,43,35,51,44,
E01000044,Barking and Dagenham,E09000002,657,36,159,10,24,144,42,14,21,3,56,30,71,47,
E01000045,Barking and Dagenham,E09000002,572,45,70,22,30,113,37,16,34,5,70,36,43,51,
E01000046,Barking and Dagenham,E09000002,656,52,88,20,40,114,43,17,39,8,81,48,60,46,
E01000049,Barking and Dagenham,E09000002,573,36,77,4,17,124,33,7,26,3,111,44,55,36,
E01000050,Barking and Dagenham,E09000002,628,60,96,14,51,125,28,20,24,5,75,27,57,46,
E01000051,Barking and Dagenham,E09000002,438,11,122,1,47,99,7,34,22,1,54,10,9,21,
E01000052,Barking and Dagenham,E09000002,796,66,101,23,52,201,37,20,22,5,102,34,65,68,
E01000053,Barking and Dagenham,E09000002,652,90,143,20,37,87,26,20,23,3,90,43,42,28,
E01000054,Barking and Dagenham,E09000002,639,53,72,41,31,113,45,17,31,7,107,36,56,30,
E01000055,Barking and Dagenham,E09000002,561,36,53,19,29,105,43,15,22,9,79,58,50,43,
E01000056,Barking and Dagenham,E09000002,566,41,71,18,25,104,37,16,33,10,83,58,40,30,
E01000057,Barking and Dagenham,E09000002,533,42,53,21,34,81,36,5,34,6,95,44,48,34,
E01000058,Barking and Dagenham,E09000002,703,43,79,16,54,135,76,13,29,10,99,43,65,41,
E01000059,Barking and Dagenham,E09000002,563,60,63,19,31,84,48,14,29,6,71,39,55,44,
E01000060,Barking and Dagenham,E09000002,808,77,171,28,34,121,25,20,35,5,130,66,59,37,
E01000061,Barking and Dagenham,E09000002,755,43,224,11,41,94,27,22,37,4,157,38,30,27,
E01000062,Barking and Dagenham,E09000002,763,94,93,32,41,113,52,11,40,6,99,58,66,58,
E01000063,Barking and Dagenham,E09000002,623,60,83,18,29,120,38,16,31,10,69,62,54,33,
E01000064,Barking and Dagenham,E09000002,796,58,153,25,51,136,55,19,39,1,100,49,64,46,
E01000065,Barking and Dagenham,E09000002,788,131,155,30,39,100,45,20,38,9,81,44,51,45,
E01000066,Barking and Dagenham,E09000002,707,89,108,22,27,143,47,7,14,4,58,28,117,43,
E01000067,Barking and Dagenham,E09000002,661,66,57,28,40,159,58,7,17,7,68,27,82,45,
E01000068,Barking and Dagenham,E09000002,476,30,33,16,21,83,46,9,7,5,14,27,95,90,
E01000069,Barking and Dagenham,E09000002,537,41,41,20,38,127,72,3,16,3,43,14,73,46,
E01000070,Barking and Dagenham,E09000002,583,47,57,37,28,127,69,7,13,4,31,27,84,52,
E01000071,Barking and Dagenham,E09000002,805,90,99,37,35,189,55,23,19,3,55,35,105,60,
E01000072,Barking and Dagenham,E09000002,736,67,92,16,32,116,40,14,41,6,154,55,58,45,
E01000073,Barking and Dagenham,E09000002,668,94,88,16,36,125,31,15,32,7,93,44,53,34,
E01000074,Barking and Dagenham,E09000002,630,64,98,18,38,116,30,13,35,5,83,58,46,26,
E01000075,Barking and Dagenham,E09000002,637,67,58,31,39,118,49,13,46,3,41,55,70,47,
E01000076,Barking and Dagenham,E09000002,800,66,163,27,45,127,41,23,35,5,94,75,49,50,
